from_stop_id,to_stop_id,from_trip_id,to_trip_id,transfer_type
65300,65300,2024-03-11_13104-5_0,2024-03-11_13104-5_1,1
65300,65300,2024-03-11_13106-7_0,2024-03-11_13106-7_1,1
49205,49205,2024-03-11_31104-5_0,2024-03-11_31104-5_1,1
49205,49205,2024-03-11_31106-7_0,2024-03-11_31106-7_1,1
65300,65300,2024-03-12_13104-5_0,2024-03-12_13104-5_1,1
65300,65300,2024-03-12_13106-7_0,2024-03-12_13106-7_1,1
49205,49205,2024-03-12_31104-5_0,2024-03-12_31104-5_1,1
49205,49205,2024-03-12_31106-7_0,2024-03-12_31106-7_1,1
65300,65300,2024-03-13_13104-5_0,2024-03-13_13104-5_1,1
65300,65300,2024-03-13_13106-7_0,2024-03-13_13106-7_1,1
49205,49205,2024-03-13_31104-5_0,2024-03-13_31104-5_1,1
49205,49205,2024-03-13_31106-7_0,2024-03-13_31106-7_1,1
65300,65300,2024-03-14_13104-5_0,2024-03-14_13104-5_1,1
65300,65300,2024-03-14_13106-7_0,2024-03-14_13106-7_1,1
49205,49205,2024-03-14_31104-5_0,2024-03-14_31104-5_1,1
49205,49205,2024-03-14_31106-7_0,2024-03-14_31106-7_1,1
65300,65300,2024-03-15_13104-5_0,2024-03-15_13104-5_1,1
65300,65300,2024-03-15_13106-7_0,2024-03-15_13106-7_1,1
49205,49205,2024-03-15_31104-5_0,2024-03-15_31104-5_1,1
49205,49205,2024-03-15_31106-7_0,2024-03-15_31106-7_1,1
32417,32417,2024-03-15_4124-5_0,2024-03-15_4124-5_1,1
65300,65300,2024-03-16_13104-5_0,2024-03-16_13104-5_1,1
65300,65300,2024-03-16_13106-7_0,2024-03-16_13106-7_1,1
49205,49205,2024-03-16_31104-5_0,2024-03-16_31104-5_1,1
49205,49205,2024-03-16_31106-7_0,2024-03-16_31106-7_1,1
32417,32417,2024-03-16_4124-5_0,2024-03-16_4124-5_1,1
32607,32607,2024-03-16_45103-2_0,2024-03-16_45103-2_1,1
32359,32359,2024-03-16_54102-3_0,2024-03-16_54102-3_1,1
65300,65300,2024-03-17_13104-5_0,2024-03-17_13104-5_1,1
65300,65300,2024-03-17_13106-7_0,2024-03-17_13106-7_1,1
58271,58271,2024-03-17_16108-9_0,2024-03-17_16108-9_1,1
49205,49205,2024-03-17_31104-5_0,2024-03-17_31104-5_1,1
49205,49205,2024-03-17_31106-7_0,2024-03-17_31106-7_1,1
32417,32417,2024-03-17_4124-5_0,2024-03-17_4124-5_1,1
32607,32607,2024-03-17_45103-2_0,2024-03-17_45103-2_1,1
32359,32359,2024-03-17_54102-3_0,2024-03-17_54102-3_1,1
65300,65300,2024-03-18_13104-5_0,2024-03-18_13104-5_1,1
65300,65300,2024-03-18_13106-7_0,2024-03-18_13106-7_1,1
58271,58271,2024-03-18_16108-9_0,2024-03-18_16108-9_1,1
49205,49205,2024-03-18_31104-5_0,2024-03-18_31104-5_1,1
49205,49205,2024-03-18_31106-7_0,2024-03-18_31106-7_1,1
65300,65300,2024-03-19_13104-5_0,2024-03-19_13104-5_1,1
65300,65300,2024-03-19_13106-7_0,2024-03-19_13106-7_1,1
58271,58271,2024-03-19_16108-9_0,2024-03-19_16108-9_1,1
49205,49205,2024-03-19_31104-5_0,2024-03-19_31104-5_1,1
49205,49205,2024-03-19_31106-7_0,2024-03-19_31106-7_1,1
65300,65300,2024-03-20_13104-5_0,2024-03-20_13104-5_1,1
65300,65300,2024-03-20_13106-7_0,2024-03-20_13106-7_1,1
58271,58271,2024-03-20_16108-9_0,2024-03-20_16108-9_1,1
49205,49205,2024-03-20_31104-5_0,2024-03-20_31104-5_1,1
49205,49205,2024-03-20_31106-7_0,2024-03-20_31106-7_1,1
65300,65300,2024-03-21_13104-5_0,2024-03-21_13104-5_1,1
65300,65300,2024-03-21_13106-7_0,2024-03-21_13106-7_1,1
58271,58271,2024-03-21_16108-9_0,2024-03-21_16108-9_1,1
49205,49205,2024-03-21_31104-5_0,2024-03-21_31104-5_1,1
49205,49205,2024-03-21_31106-7_0,2024-03-21_31106-7_1,1
65300,65300,2024-03-22_13104-5_0,2024-03-22_13104-5_1,1
65300,65300,2024-03-22_13106-7_0,2024-03-22_13106-7_1,1
58271,58271,2024-03-22_16108-9_0,2024-03-22_16108-9_1,1
49205,49205,2024-03-22_31104-5_0,2024-03-22_31104-5_1,1
49205,49205,2024-03-22_31106-7_0,2024-03-22_31106-7_1,1
65300,65300,2024-03-23_13104-5_0,2024-03-23_13104-5_1,1
65300,65300,2024-03-23_13106-7_0,2024-03-23_13106-7_1,1
49205,49205,2024-03-23_31104-5_0,2024-03-23_31104-5_1,1
49205,49205,2024-03-23_31106-7_0,2024-03-23_31106-7_1,1
65300,65300,2024-03-24_13104-5_0,2024-03-24_13104-5_1,1
65300,65300,2024-03-24_13106-7_0,2024-03-24_13106-7_1,1
49205,49205,2024-03-24_31104-5_0,2024-03-24_31104-5_1,1
49205,49205,2024-03-24_31106-7_0,2024-03-24_31106-7_1,1
65300,65300,2024-03-25_13104-5_0,2024-03-25_13104-5_1,1
65300,65300,2024-03-25_13106-7_0,2024-03-25_13106-7_1,1
49205,49205,2024-03-25_31104-5_0,2024-03-25_31104-5_1,1
49205,49205,2024-03-25_31106-7_0,2024-03-25_31106-7_1,1
65300,65300,2024-03-26_13104-5_0,2024-03-26_13104-5_1,1
65300,65300,2024-03-26_13106-7_0,2024-03-26_13106-7_1,1
49205,49205,2024-03-26_31104-5_0,2024-03-26_31104-5_1,1
49205,49205,2024-03-26_31106-7_0,2024-03-26_31106-7_1,1
65300,65300,2024-03-27_13104-5_0,2024-03-27_13104-5_1,1
65300,65300,2024-03-27_13106-7_0,2024-03-27_13106-7_1,1
49205,49205,2024-03-27_31104-5_0,2024-03-27_31104-5_1,1
