date,service_id,exception_type
20240309,2024-03-09,1
20240310,2024-03-10,1
20240311,2024-03-11,1
20240312,2024-03-12,1
20240313,2024-03-13,1
20240314,2024-03-14,1
20240315,2024-03-15,1
20240316,2024-03-16,1
20240317,2024-03-17,1
20240318,2024-03-18,1
20240319,2024-03-19,1
20240320,2024-03-20,1
20240321,2024-03-21,1
20240322,2024-03-22,1
20240323,2024-03-23,1
20240324,2024-03-24,1
20240325,2024-03-25,1
20240326,2024-03-26,1
20240327,2024-03-27,1
20240328,2024-03-28,1
20240329,2024-03-29,1
20240330,2024-03-30,1
20240331,2024-03-31,1
20240401,2024-04-01,1
20240402,2024-04-02,1
20240403,2024-04-03,1
20240404,2024-04-04,1
20240405,2024-04-05,1
20240406,2024-04-06,1
20240407,2024-04-07,1
20240408,2024-04-08,1
20240409,2024-04-09,1
